ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
3199,variable,6604733167,Colgate Herbal - 35G,1,0,visible,Colgate Herbal - 35G,Colgate Herbal - 35G,,,taxable,,1,37,,0,0,,,,,0,,,,Beauty,,,https://kapuafrica.com/wp-content/uploads/2022/01/Colgate-Herbal-1.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3200,variable,5368535563,Fahari Ya Kenya Tea - 100g,1,0,visible,Fahari Ya Kenya Tea - 100g,Fahari Ya Kenya Tea - 100g,,,taxable,,1,117,,0,0,,,,,0,,,,"Tea\, Coffee &amp; Hot Chocolate",,,https://kapuafrica.com/wp-content/uploads/2021/11/FahariYaKenya_a4346ed4-6e01-4db4-86ee-5638a376a8cc_1024x1024.png,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3201,variable,3645210080,Geisha Milk & Honey Soap - 225G,1,0,visible,Geisha Milk &amp; Honey Soap - 225G,Geisha Milk &amp; Honey Soap - 225G,,,taxable,,0,0,,0,0,,,,,0,,,,Beauty,,,https://kapuafrica.com/wp-content/uploads/2022/01/Geisha-milk-and-honey.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3202,variable,4885602117,Indomie Beef - 120g,1,0,visible,Indomie Beef - 120g,Indomie Beef - 120g,,,taxable,,1,150,,0,0,,,,,0,,,,Pasta &amp; Noodles,,,https://kapuafrica.com/wp-content/uploads/2021/11/Indomie-Beef-Jumbo-Noodle-120g.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3203,variable,7646909809,Indomie Chicken - 120g,1,0,visible,Indomie Chicken - 120g,Indomie Chicken - 120g,,,taxable,,1,265,,0,0,,,,,0,,,,Pasta &amp; Noodles,,,https://kapuafrica.com/wp-content/uploads/2021/11/Indomie-Chicken-Noodles-120g.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3204,variable,6518583240,Kensalt - 1Kg,1,0,visible,Kensalt - 1Kg,Kensalt - 1Kg,,,taxable,,1,94,,0,0,,,,,0,,,,Cooking Ingredient,,,https://kapuafrica.com/wp-content/uploads/2021/11/KENSALT-1KG-1.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3205,variable,3306580224,Kensalt - 200G,1,0,visible,Kensalt - 200G,Kensalt - 200G,,,taxable,,1,155,,0,0,,,,,0,,,,Cooking Ingredient,,,https://kapuafrica.com/wp-content/uploads/2022/01/Kensalt-200g.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3206,variable,4130357482,Kensalt - 500G,1,0,visible,Kensalt - 500G,Kensalt - 500G,,,taxable,,1,136,,0,0,,,,,0,,,,Cooking Ingredient,,,https://kapuafrica.com/wp-content/uploads/2021/11/Kensalt-500g.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3207,variable,375340437,Mchuzi Mix Beef Kora - 10g,1,0,visible,Mchuzi Mix Beef Kora - 10g,Mchuzi Mix Beef Kora - 10g,,,taxable,,1,42,,0,0,,,,,0,,,,Beauty,,,https://kapuafrica.com/wp-content/uploads/2021/11/mchuzi-mix-beef-kora.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3208,variable,4103880190,Ngarisha Steel Wool -15Gms,1,0,visible,Ngarisha Steel Wool -15Gms,Ngarisha Steel Wool -15Gms,,,taxable,,1,55,,0,0,,,,,0,,,,Cooking Ingredient,,,https://kapuafrica.com/wp-content/uploads/2022/01/Ngarisha-75g.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3209,variable,7794987563,Rhino Ndogo Match Box - 10 S,1,0,visible,Rhino Ndogo Match Box - 10 S,Rhino Ndogo Match Box - 10 S,,,taxable,,1,95,,0,0,,,,,0,,,,Household Supply,,,https://kapuafrica.com/wp-content/uploads/2022/01/Rhino-Kubwa-Matches.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3210,variable,3819626227,Royco - Bouillon Beef Cube 4g x 3 Pieces,1,0,hidden,Royco - Bouillon Beef Cube 4g x 3 Pieces,Royco - Bouillon Beef Cube 4g x 3 Pieces,,,taxable,,1,0,,0,0,,,,,0,,,,Cooking Ingredient,,,https://kapuafrica.com/wp-content/uploads/2022/01/Royco-Cube-X-3.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3211,variable,9400515460,Softcare Gold Diaper Maxi L-8,1,0,visible,Softcare Gold Diaper Maxi L-8,Softcare Gold Diaper Maxi L-8,,,taxable,,1,63,,0,0,,,,,0,,,,Household Cleaners,,,https://kapuafrica.com/wp-content/uploads/2022/01/Softcare-Diapers-Large.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3212,variable,2685380480,Softcare Gold Diaper Maxi M-8,1,0,visible,Softcare Gold Diaper Maxi M-8,Softcare Gold Diaper Maxi M-8,,,taxable,,1,45,,0,0,,,,,0,,,,Household Cleaners,,,https://kapuafrica.com/wp-content/uploads/2022/01/Softcare-Medium.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3213,variable,9922661962,Softcare Gold Diaper Maxi S-8,1,0,visible,Softcare Gold Diaper Maxi S-8,Softcare Gold Diaper Maxi S-8,,,taxable,,1,36,,0,0,,,,,0,,,,Household Cleaners,,,https://kapuafrica.com/wp-content/uploads/2022/01/Softcare-Diapers-Small.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3214,variable,1611173445,Sunlight Powder Lavender - 40g,1,0,visible,Sunlight Powder Lavender - 40g,Sunlight Powder Lavender - 40g,,,taxable,,1,120,,0,0,,,,,0,,,,Household Cleaners,,,https://kapuafrica.com/wp-content/uploads/2022/01/sunlight-200g-pink-1.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3215,variable,2599419737,Toilex Wrapped Toilet Tissue - 1 Roll,1,0,visible,Toilex Wrapped Toilet Tissue - 1 Roll,Toilex Wrapped Toilet Tissue - 1 Roll,,,taxable,,1,34,,0,0,,,,,0,,,,Household Cleaners,,,https://kapuafrica.com/wp-content/uploads/2022/01/Toilex-1-roll.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3216,variable,7195055335,Vaseline Pure Jelly - 50g,1,0,visible,Vaseline Pure Jelly - 50g,Vaseline Pure Jelly - 50g,,,taxable,,1,396,,0,0,,,,,0,,,,Beauty,,,https://kapuafrica.com/wp-content/uploads/2022/01/Vaseline-50g.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3217,variable,7718910308,Weetabix Single Serve - 37G,1,0,visible,Weetabix Single Serve - 37G,Weetabix Single Serve - 37G,,,taxable,,1,223,,0,0,,,,,0,,,,Bread &amp; Cereals,,,https://kapuafrica.com/wp-content/uploads/2022/01/Weetabix-Single-Serve.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3218,variable,838673691,Ajab Home Baking - 2Kg,1,0,visible,Ajab Home Baking - 2Kg,Ajab Home Baking - 2Kg,,,taxable,,1,453,,0,0,,,,,0,,,,Flours,,,https://kapuafrica.com/wp-content/uploads/2021/11/ajab-home-baking0flour-2kg.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3219,variable,8411665263,Daima Uht - 500Ml,1,0,visible,Daima Uht - 500Ml,Daima Uht - 500Ml,,,taxable,,1,131,,0,0,,,,,0,,,,Milk,,,https://kapuafrica.com/wp-content/uploads/2021/11/daima_uht_fino_500ml.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3220,variable,576431025,Kabras Sugar - 2Kg,1,0,visible,Kabras Sugar - 2Kg,Kabras Sugar - 2Kg,,,taxable,,1,104,,0,0,,,,,0,,,,Sugar,,,https://kapuafrica.com/wp-content/uploads/2021/11/Kabras-Sugar-2kg.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3221,variable,9475886996,Lato Fino UHT - 500Ml,1,0,visible,Lato Fino UHT - 500Ml,Lato Fino UHT - 500Ml,,,taxable,,1,424,,0,0,,,,,0,,,,Milk,,,https://kapuafrica.com/wp-content/uploads/2022/01/Lato-whole-milk-.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3222,variable,6205229719,Pembe Maize Meal - 2Kg,1,0,visible,Pembe Maize Meal - 2Kg,Pembe Maize Meal - 2Kg,,,taxable,,1,867,,0,0,,,,,0,,,,Flours,,,https://kapuafrica.com/wp-content/uploads/2022/01/Pembe-Maize-Meal-2kg.png,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3223,variable,1328760238,Soko Maize Meal - 2Kg,1,0,visible,Soko Maize Meal - 2Kg,Soko Maize Meal - 2Kg,,,taxable,,1,447,,0,0,,,,,0,,,,Flours,,,https://kapuafrica.com/wp-content/uploads/2021/11/soko-maize-meal-2kg.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3224,variable,9537030280,Banana Local Medium - 3 Bananas,1,0,visible,Banana Local Medium - 3 Bananas,Banana Local Medium - 3 Bananas,,,taxable,,1,15,,0,0,,,,,0,,,,Fruits,,,https://kapuafrica.com/wp-content/uploads/2022/01/Bananas-X-3.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3225,variable,9067048862,Carrot - 5 Carrots (400 to 500gr),1,0,visible,Carrot - 5 Carrots (400 to 500gr),Carrot - 5 Carrots (400 to 500gr),,,taxable,,1,35,,0,0,,,,,0,,,,Vegetables,,,https://kapuafrica.com/wp-content/uploads/2022/01/Carrots-X-5.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3226,variable,5641028820,Egg - Piece,1,0,visible,Egg - Piece,Egg - Piece,,,taxable,,1,20,,0,0,,,,,0,,,,Egg,,,https://kapuafrica.com/wp-content/uploads/2022/01/Egg_1.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3227,variable,6893689190,Egg - Tray (30 Pieces),1,0,visible,Egg - Tray (30 Pieces),Egg - Tray (30 Pieces),,,taxable,,1,163,,0,0,,,,,0,,,,Egg,,,https://kapuafrica.com/wp-content/uploads/2022/01/Egg-Tray.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3228,variable,2073264559,Irish Managu - Bunch (400 to 500gr),1,0,visible,Irish Managu - Bunch (400 to 500gr),Irish Managu - Bunch (400 to 500gr),,,taxable,,0,0,,0,0,,,,,0,,,,Vegetables,,,https://kapuafrica.com/wp-content/uploads/2022/01/Irish-Managu.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3229,variable,420225599,Kunde - Bunch (350 to 400 gr),1,0,visible,Kunde - Bunch (350 to 400 gr),Kunde - Bunch (350 to 400 gr),,,taxable,,0,0,,0,0,,,,,0,,,,Vegetables,,,https://kapuafrica.com/wp-content/uploads/2022/01/Kunde.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3230,variable,944256867,Onion Red Medium - 1Kg,1,0,visible,Onion Red Medium - 1Kg,Onion Red Medium - 1Kg,,,taxable,,1,45,,0,0,,,,,0,,,,Vegetables,,,https://kapuafrica.com/wp-content/uploads/2022/01/Onions-1KG.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3231,variable,7916381000,Onion Red Small - 1Kg,1,0,visible,Onion Red Small - 1Kg,Onion Red Small - 1Kg,,,taxable,,1,41,,0,0,,,,,0,,,,Vegetables,,,https://kapuafrica.com/wp-content/uploads/2022/01/Onions-1KG.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3232,variable,1237419866,Onions Red Medium - 3 Pieces,1,0,visible,Onions Red Medium - 3 Pieces,Onions Red Medium - 3 Pieces,,,taxable,,1,144,,0,0,,,,,0,,,,Vegetables,,,https://kapuafrica.com/wp-content/uploads/2022/01/Onions-X-3-pieces.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3233,variable,4430535536,Onions Red Small - 2 Pieces,1,0,visible,Onions Red Small - 2 Pieces,Onions Red Small - 2 Pieces,,,taxable,,1,74,,0,0,,,,,0,,,,Vegetables,,,https://kapuafrica.com/wp-content/uploads/2022/01/Onions-red-X-2-Small.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3234,variable,1622299377,Onions Red Small - 3 Pieces,1,0,visible,Onions Red Small - 3 Pieces,Onions Red Small - 3 Pieces,,,taxable,,1,114,,0,0,,,,,0,,,,Vegetables,,,https://kapuafrica.com/wp-content/uploads/2022/01/Onions-Small-X-3.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3235,variable,4171505109,Potatoes (Changi) Assorted - 1 KG,1,0,visible,Potatoes (Changi) Assorted - 1 KG,Potatoes (Changi) Assorted - 1 KG,,,taxable,,1,109,,0,0,,,,,0,,,,Vegetables,,,https://kapuafrica.com/wp-content/uploads/2022/01/Potatoes-Changi-1kg.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3236,variable,667552795,Spinach - Bunch (500 to 600gr),1,0,visible,Spinach - Bunch (500 to 600gr),Spinach - Bunch (500 to 600gr),,,taxable,,1,30,,0,0,,,,,0,,,,Vegetables,,,https://kapuafrica.com/wp-content/uploads/2022/01/Spinach.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3237,variable,9051778069,Sukuma - Bunch (500 to 600gr),1,0,visible,Sukuma - Bunch (500 to 600gr),Sukuma - Bunch (500 to 600gr),,,taxable,,1,30,,0,0,,,,,0,,,,Vegetables,,,https://kapuafrica.com/wp-content/uploads/2022/01/Spinach.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3238,variable,646389757,Terrere - Bunch (500 to 600gr),1,0,visible,Terrere - Bunch (500 to 600gr),Terrere - Bunch (500 to 600gr),,,taxable,,0,0,,0,0,,,,,0,,,,Vegetables,,,https://kapuafrica.com/wp-content/uploads/2022/01/Terere_Bunch.png,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3239,variable,550486364,Tomato Medium - 3 Pieces,1,0,visible,Tomato Medium - 3 Pieces,Tomato Medium - 3 Pieces,,,taxable,,1,62,,0,0,,,,,0,,,,Vegetables,,,https://kapuafrica.com/wp-content/uploads/2021/11/tomato.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3240,variable,9217739136,Pembe Home Baking - 2Kg,1,0,visible,Pembe Home Baking - 2Kg,Pembe Home Baking - 2Kg,,,taxable,,1,434,,0,0,,,,,0,,,,Flours,,,https://kapuafrica.com/wp-content/uploads/2022/01/pembe-ngano-1kg.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3241,variable,5406120279,Rina Vegetable Oil - 10L,1,0,visible,Rina Vegetable Oil - 10L,Rina Vegetable Oil - 10L,,,taxable,,1,2,,0,0,,,,,0,,,,Oil,,,https://kapuafrica.com/wp-content/uploads/2022/01/Rina-10L.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3242,variable,7857504030,Rina Vegetable Oil - 1L,1,0,visible,Rina Vegetable Oil - 1L,Rina Vegetable Oil - 1L,,,taxable,,1,38,,0,0,,,,,0,,,,Oil,,,https://kapuafrica.com/wp-content/uploads/2022/01/Rina-1L.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
3244,variation,,Festive Brown - 400g - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,52,,,,,,,5022568797,,,,,,0,Pricing,Base,,1
3246,variation,,Festive Brown - 600g - Base,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,0,,,77,,,,,,,3210825758,,,,,,0,Pricing,Base,,1
3248,variation,,Festive White - 400g - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,52,,,,,,,8227628630,,,,,,0,Pricing,Base,,1
3250,variation,,Festive White - 600g - Base,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,0,,,77,,,,,,,3806867649,,,,,,0,Pricing,Base,,1
3252,variation,,Arimis Milking Jelly - 200g - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,83,,,,,,,1181100148,,,,,,0,Pricing,Base,,1
3254,variation,,Arimis Milking Jelly - 50g - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,28,,,,,,,1749308189,,,,,,0,Pricing,Base,,1
3256,variation,,Blue Band Original - 100G - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,49,,,,,,,9604696117,,,,,,0,Pricing,Base,,1
3258,variation,,Blue Band Original - 250G - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,105,,,,,,,9673768233,,,,,,0,Pricing,Base,,1
3260,variation,,Blue Band Original - 500G - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,199,,,,,,,86722522,,,,,,0,Pricing,Base,,1
3262,variation,,Chapa Mandashi - 100g - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,23,,,,,,,2966612175,,,,,,0,Pricing,Base,,1
3264,variation,,Colgate Herbal - 35G - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,56,,,,,,,6604733167,,,,,,0,Pricing,Base,,1
3266,variation,,Fahari Ya Kenya Tea - 100g - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,45,,,,,,,5368535563,,,,,,0,Pricing,Base,,1
3268,variation,,Geisha Milk & Honey Soap - 225G - Base,1,0,visible,,,,,taxable,,0,,,0,0,,,,,0,,,83,,,,,,,3645210080,,,,,,0,Pricing,Base,,1
3270,variation,,Indomie Beef - 120g - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,34,,,,,,,4885602117,,,,,,0,Pricing,Base,,1
3272,variation,,Indomie Chicken - 120g - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,34,,,,,,,7646909809,,,,,,0,Pricing,Base,,1
3274,variation,,Kensalt - 1Kg - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,33,,,,,,,6518583240,,,,,,0,Pricing,Base,,1
3276,variation,,Kensalt - 200G - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,9,,,,,,,3306580224,,,,,,0,Pricing,Base,,1
3278,variation,,Kensalt - 500G - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,17,,,,,,,4130357482,,,,,,0,Pricing,Base,,1
3280,variation,,Mchuzi Mix Beef Kora - 10g - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,5,,,,,,,375340437,,,,,,0,Pricing,Base,,1
3282,variation,,Ngarisha Steel Wool -15Gms - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,7,,,,,,,4103880190,,,,,,0,Pricing,Base,,1
3284,variation,,Rhino Ndogo Match Box - 10 S - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,25,,,,,,,7794987563,,,,,,0,Pricing,Base,,1
3286,variation,,Royco - Bouillon Beef Cube 4g x 3 Pieces - Base,1,0,hidden,,,,,taxable,,0,,,0,0,,,,,0,,,,,,,,,,3819626227,,,,,,0,Pricing,Base,,1
3288,variation,,Softcare Gold Diaper Maxi L-8 - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,120,,,,,,,9400515460,,,,,,0,Pricing,Base,,1
3290,variation,,Softcare Gold Diaper Maxi M-8 - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,120,,,,,,,2685380480,,,,,,0,Pricing,Base,,1
3292,variation,,Softcare Gold Diaper Maxi S-8 - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,120,,,,,,,9922661962,,,,,,0,Pricing,Base,,1
3294,variation,,Sunlight Powder Lavender - 40g - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,9,,,,,,,1611173445,,,,,,0,Pricing,Base,,1
3296,variation,,Toilex Wrapped Toilet Tissue - 1 Roll - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,23,,,,,,,2599419737,,,,,,0,Pricing,Base,,1
3298,variation,,Vaseline Pure Jelly - 50g - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,58,,,,,,,7195055335,,,,,,0,Pricing,Base,,1
3300,variation,,Weetabix Single Serve - 37G - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,24,,,,,,,7718910308,,,,,,0,Pricing,Base,,1
3302,variation,,Ajab Home Baking - 2Kg - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,146,,,,,,,838673691,,,,,,0,Pricing,Base,,1
3304,variation,,Daima Uht - 500Ml - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,47,,,,,,,8411665263,,,,,,0,Pricing,Base,,1
3306,variation,,Kabras Sugar - 2Kg - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,250,,,,,,,576431025,,,,,,0,Pricing,Base,,1
3308,variation,,Lato Fino UHT - 500Ml - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,48,,,,,,,9475886996,,,,,,0,Pricing,Base,,1
3310,variation,,Pembe Maize Meal - 2Kg - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,114,,,,,,,6205229719,,,,,,0,Pricing,Base,,1
3312,variation,,Soko Maize Meal - 2Kg - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,115,,,,,,,1328760238,,,,,,0,Pricing,Base,,1
3314,variation,,Banana Local Medium - 3 Bananas - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,20,,,,,,,9537030280,,,,,,0,Pricing,Base,,1
3316,variation,,Carrot - 5 Carrots (400 to 500gr) - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,20,,,,,,,9067048862,,,,,,0,Pricing,Base,,1
3318,variation,,Egg - Piece - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,12,,,,,,,5641028820,,,,,,0,Pricing,Base,,1
3320,variation,,Egg - Tray (30 Pieces) - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,310,,,,,,,6893689190,,,,,,0,Pricing,Base,,1
3322,variation,,Irish Managu - Bunch (400 to 500gr) - Base,1,0,visible,,,,,taxable,,0,,,0,0,,,,,0,,,20,,,,,,,2073264559,,,,,,0,Pricing,Base,,1
3324,variation,,Kunde - Bunch (350 to 400 gr) - Base,1,0,visible,,,,,taxable,,0,,,0,0,,,,,0,,,20,,,,,,,420225599,,,,,,0,Pricing,Base,,1
3326,variation,,Onion Red Medium - 1Kg - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,89,,,,,,,944256867,,,,,,0,Pricing,Base,,1
3328,variation,,Onion Red Small - 1Kg - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,89,,,,,,,7916381000,,,,,,0,Pricing,Base,,1
3330,variation,,Onions Red Medium - 3 Pieces - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,20,,,,,,,1237419866,,,,,,0,Pricing,Base,,1
3332,variation,,Onions Red Small - 2 Pieces - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,,,,,,,4430535536,,,,,,0,Pricing,Base,,1
3334,variation,,Onions Red Small - 3 Pieces - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,15,,,,,,,1622299377,,,,,,0,Pricing,Base,,1
3336,variation,,Potatoes (Changi) Assorted - 1 KG - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,39,,,,,,,4171505109,,,,,,0,Pricing,Base,,1
3338,variation,,Spinach - Bunch (500 to 600gr) - Base,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,20,,,,,,,667552795,,,,,,0,Pricing,Base,,1
